Question,Context
Yellow,Yellow  capletshaped  bespectacled beings swarm in excited enthusiasm  gurgling in some sort of fractionally understandable language that seems fitting  given the indeterminate RussianHungarian goulash of Gru s accent 
Gru,Yellow  capletshaped  bespectacled beings swarm in excited enthusiasm  gurgling in some sort of fractionally understandable language that seems fitting  given the indeterminate RussianHungarian goulash of Gru s accent 
Gru,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Brand,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Gru,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Bond,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Carell,Carell s vocal delivery is entertaining  Beneath the character s amusing accent  we can hear intimations of both an archcriminal and a petulant child 
Chris Meledandri,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Horton,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Ice,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Meltdown,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
CGI,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
French,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Mac Guff Ligne,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Pixar,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Spy,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Despicable Me,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Despicable Me,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Austin Chronicle,A note to readers  Bold and uncensored  The Austin Chronicle has been Austin s independent news source for over 36 years  expressing the community s political and environmental concerns and supporting its active cultural scene 
Austin,A note to readers  Bold and uncensored  The Austin Chronicle has been Austin s independent news source for over 36 years  expressing the community s political and environmental concerns and supporting its active cultural scene 
Austin,Now more than ever  we need your support to continue supplying Austin with independent  free press 
Chronicle Despicable Me,Support the Chronicle Despicable Me  Chris Renaud  Pierre Coffin Information is power 
Chris Renaud,Support the Chronicle Despicable Me  Chris Renaud  Pierre Coffin Information is power 
Pierre Coffin,Support the Chronicle Despicable Me  Chris Renaud  Pierre Coffin Information is power 
Austin,Support the free press  so we can support Austin 
Chronicle Information,Support the Chronicle Information is power 
Austin,Support the free press  so we can support Austin 
Chronicle,Support the Chronicle
Variety,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
PARIS,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Universal,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Sammy,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Adventures,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Euro S3D,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Ben Stassen,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Annecy Intl,Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Variety Print Plus Subscriber Attendance up 10  at animation festival PARIS Two key upcoming stereoscopic 3D movies Universal s Despicable Me and Sammy s Adventures from Euro S3D pioneer Ben Stassen will play for the first time to audiences at next week s 50th Annecy Intl 
Animation,Animation Film Festival 
Film Festival,Animation Film Festival 
Universal,The first movie for Universal from Chris Meledandri s Illumination Ent  Despicable Me bows commercially in the US July 9 
Chris Meledandri,The first movie for Universal from Chris Meledandri s Illumination Ent  Despicable Me bows commercially in the US July 9 
U.S.,The first movie for Universal from Chris Meledandri s Illumination Ent  Despicable Me bows commercially in the US July 9 
Steve Carell,Voiced by Steve Carell  Me was animated at Paris Mac Guff and is helmed by Pierre Coffin and Chris Renaud  both from France 
Paris,Voiced by Steve Carell  Me was animated at Paris Mac Guff and is helmed by Pierre Coffin and Chris Renaud  both from France 
Pierre Coffin,Voiced by Steve Carell  Me was animated at Paris Mac Guff and is helmed by Pierre Coffin and Chris Renaud  both from France 
Chris Renaud,Voiced by Steve Carell  Me was animated at Paris Mac Guff and is helmed by Pierre Coffin and Chris Renaud  both from France 
France,Voiced by Steve Carell  Me was animated at Paris Mac Guff and is helmed by Pierre Coffin and Chris Renaud  both from France 
Stassen,Produced by Stassen s Brusselsbased NWave  and his second S3D fiction feature after Fly Me to the Moon  Adventures was sold worldwide at 2009 s Cannes fest by StudioCanal 
NWave,Produced by Stassen s Brusselsbased NWave  and his second S3D fiction feature after Fly Me to the Moon  Adventures was sold worldwide at 2009 s Cannes fest by StudioCanal 
Moon,Produced by Stassen s Brusselsbased NWave  and his second S3D fiction feature after Fly Me to the Moon  Adventures was sold worldwide at 2009 s Cannes fest by StudioCanal 
StudioCanal,Produced by Stassen s Brusselsbased NWave  and his second S3D fiction feature after Fly Me to the Moon  Adventures was sold worldwide at 2009 s Cannes fest by StudioCanal 
French,Rather than the films French connections  however  it s Annecy s status that explains these world preems 
Annecy,Rather than the films French connections  however  it s Annecy s status that explains these world preems 
Annecy,Running June 712 this year  Annecy is the world s highestprofile animation fest  and one of the fastestgrowing sprocket operas around 
Fest,Fest is embraced by European and US industries alike 
European,Fest is embraced by European and US industries alike 
U.S.,Fest is embraced by European and US industries alike 
U.S.,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Jeffrey Katzenberg,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Matt Groening,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Nick Park,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Peter Lord,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
England,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Aardman Animations,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Israel,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Ari Folman,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
France,US luminaries expected at France s Annecy include Jeffrey Katzenberg  Matt Groening  Nick Park and Peter Lord from England s Aardman Animations  Israel s Ari Folman and France s Patrice Leconte  both jury members 
Adventures,Both Gala screenings  Despicable Me bows on June 9 and Adventures on June 11 
Pixar,Pixar stereoscopic supervisor Bob Whitehill will unveil its latest short  Day  Night  on June 12 
Bob Whitehill,Pixar stereoscopic supervisor Bob Whitehill will unveil its latest short  Day  Night  on June 12 
Night,Pixar stereoscopic supervisor Bob Whitehill will unveil its latest short  Day  Night  on June 12 
Annecy,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Sylvain Chomet,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Illusionist,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
European,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Shrek Forever,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Mickael Marin,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Annecy,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Intl,Annecy opens with Sylvain Chomet s The Illusionist and also features  June 8  the European premiere of Shrek Forever After According to Mickael Marin  head of Annecy s Intl 
Market,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Animation Film,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
MIFA,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Annecy,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Allez Raconte,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Japan,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Takeshi Koike,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Rainbow,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Croatia,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Josko Marusic,Market of Animation Film  MIFA   other Annecy world preems include Allez Raconte  car race actioner Redline  from Japan s Takeshi Koike  and CGIlive action Duga  The Rainbow   from Croatia s Josko Marusic 
Competition,Directed by JeanChristophe Roger and playing in Competition  Allez Raconte  turns on a fathers TV contest for storytelling 
Toonpic,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Gallic,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Les Armateurs,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Secret,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Kells,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Wild Beasts,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Ari Folman,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Futurological,Toonpic marks the latest offering from prestige Gallic toon house Les Armateurs  The Secret of Kells  Kirikou and the Wild Beasts   which is currently producing Ari Folman s The Futurological Congress We do have premieres 
Annecy,But the point of Annecy isn t to have the most world premieres  it s to take in young talent the small Competition short from Slovenia to successful films  projects  a market  schools  and computer software designers such as Hewlett Packard  said fest director Serge Bromberg 
Slovenia,But the point of Annecy isn t to have the most world premieres  it s to take in young talent the small Competition short from Slovenia to successful films  projects  a market  schools  and computer software designers such as Hewlett Packard  said fest director Serge Bromberg 
Hewlett Packard,But the point of Annecy isn t to have the most world premieres  it s to take in young talent the small Competition short from Slovenia to successful films  projects  a market  schools  and computer software designers such as Hewlett Packard  said fest director Serge Bromberg 
Serge Bromberg,But the point of Annecy isn t to have the most world premieres  it s to take in young talent the small Competition short from Slovenia to successful films  projects  a market  schools  and computer software designers such as Hewlett Packard  said fest director Serge Bromberg 
Annecy,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
Competition,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
Mr. Fox,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
Venice Critics,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
Secret,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
France,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
Gaumont Alphanim,Featuring pics that have already seen commercial release  Annecy s Competition ranges from Fantastic Mr Fox to dystopiaset Metropia  a Venice Critics Week player  and Eleanor s Secret  the flagship toon feature from France s Gaumont Alphanim 
China,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Liu Jian,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Japan,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
Mamoru Hosoda,Other Competition titles are 2Ddrawn Piercing 1  from China s Liu Jian  Summer Wars  helmed by Japan s Mamoru Hosoda  which won Sitges Animat Gertie Award last October  and Japanese blockbuster One Piece Film  Strong World From early buzz  highlights at Work in Progress look set to include Chun Zhang and Xuan Liang s Da Hai  an ambitious Chinese animation feature  one of South Africa s first S3D pics  Jock of the Bushveld  and Leconte s presentation of his first toonpic as a director  The Suicide Shop  made in pioneering Stereoscopic 2D and currently moving into production 
