What is Meltdown,"Meltdown is a 2006 American computer-animated comedy film produced by Blue Sky Studios. The film was directed by Carlos Saldanha and co-written by Michael J. Wilson. The film features the voices of Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Seann William Scott, Josh Peck and Chris Wedge. The film follows a group of prehistoric animals who must deal with the impending destruction"
What is CGI,CGI is a computer-generated imagery technique used in filmmaking and video game production.
What is the name of the French special effects house that did the CGI work for the film Horton Hears a Who,Mac Guff Ligne
What is Mac Guff Ligne,"Mac Guff Ligne is a French special effects house that produced the CGI work for Horton Hears a Who, Ice Age, and The Meltdown."
What is Pixar,Pixar is a company that produces animated family films.
What is Spy,A Spy is a person who gathers information on an enemy or opponent.
What is Despicable Me,"Despicable Me is a 2010 American 3D computer-animated comedy film produced by Illumination Entertainment for Universal Pictures. It is the first film in the Despicable Me franchise. The film was directed by Pierre Coffin and Chris Renaud, and written by Cinco Paul and Ken Daurio. It stars Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, and Miranda"
What is Despicable Me,"Despicable Me is a 2010 American 3D computer-animated comedy film from Universal Pictures and Illumination Entertainment that was directed by Pierre Coffin and Chris Renaud, and produced by Illumination CEO Chris Meledandri. The film stars Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, and Miranda Cosgrove."
What is Austin Chronicle,"Austin Chronicle is a news source that has been operating for over 40 years. It is known for its bold and uncensored approach to reporting, and covers topics that are important to the Austin community, such as politics and the environment. The Chronicle also supports the city's active cultural scene."
What is Austin's independent news source for over 40 years,"The Austin Chronicle has been Austin's independent news source for over 40 years, expressing the community's political and environmental concerns and supporting its active cultural scene."
What is Austin,Austin is a city in Texas.
What is Chronicle Despicable Me,Chronicle Despicable Me is a documentary about the making of the film Despicable Me. It is directed by Chris Renaud and Pierre Coffin.
What is Chris Renaud,"Chris Renaud is an American animator, director, and producer. He is best known for co-directing the Despicable Me franchise with Pierre Coffin."
What is Pierre Coffin,Pierre Coffin is an animation director and voice actor. He is best known for his work on the Despicable Me franchise and The Lorax.
What is Austin,Austin is the capital of Texas and the 11th-most populous city in the United States.
What is Chronicle Information,Chronicle Information is a website that provides users with information about the latest news and events.
What is Austin,Austin is the capital of Texas and the 11th-most populous city in the United States.
What is Chronicle,Chronicle is a news organization in San Francisco.
What is Despicable Me,"Despicable Me is a 2010 American 3D computer-animated comedy film produced by Illumination Entertainment and released by Universal Pictures. The film stars Steve Carell, Jason Segel, Russell Brand, Miranda Cosgrove, Elsie Fisher, and Dana Gaier. The film centers on Gru, a super-villain who adopts three girls from an orphanage, and tries to stop a rival, Vector, from stealing the Moon."
What is Carell,The voice of Gru in Despicable Me.
What is Despicable Me,"Despicable Me is a 2010 American computer-animated comedy film directed by Pierre Coffin and Chris Renaud, and produced by Illumination Entertainment. The film stars the voice of Steve Carell as Gru, a super-villain who adopts three girls from an orphanage, and the voice of Jason Segel as Vector, a rival of Gru who steals a shrink ray to shrink the moon."
What is the Incredibles,"The Incredibles is a 2004 American computer-animated superhero film written and directed by Brad Bird, produced by Pixar Animation Studios, and released by Walt Disney Pictures. The film follows a family of superheroes who are forced to hide their powers and live a normal life. When they are called upon to save the world, they must find a way to work together and use their powers to defeat the villain."
What is Gru,He is a character from the movie Despicable Me who is a villain.
What is the Great Pyramid of Giza,The Great Pyramid of Giza was built by the ancient Egyptians and is one of the Seven Wonders of the World.
What is Giza,Giza is a supervillain in the community who is trying to best the other villains. He kicks things off in spectacular style by seizing the Great Pyramid of Giza and replacing it with an inflatable replica.
What is Gru,"Gru is a former supervillain and the main character in the Despicable Me franchise. He has some monuments to his name, but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats."
What is the Eiffel Tower,The Eiffel Tower is a monument in Paris that was once in the possession of Gru.
What is Statue,"The Statue of Liberty is a monument in New York City that was once in the possession of Gru, but was stolen from Vegas."
What is Liberty,"The Statue of Liberty is a monument in New York City that was once in the possession of Gru, but was stolen from Vegas."
What is Vegas,Vegas is a city in the United States known for its gambling and entertainment.
What is Part,"Part of his plan involves the adoption of three orphaned sisters Margo Cosgrove, Edith Gaier, and Agnes Fisher."
What is Cosgrove,"Cosgrove is a character in the book The Orphan Sisters by Margaret Peterson Haddix. Part of his plan involves the adoption of three orphaned sisters: Margo, Cosgrove, Edith, and Agnes."
What is Edith,Edith is one of three orphaned sisters that a man plans to adopt.
What is Agnes,Agnes is one of three orphaned sisters who are being adopted as part of a plan.
What is Gru,Gru is a villain with justifiable mommy issues who discovers his sensitive side.
What is Andrews,Andrews is the voice of Gru's belittling mother.
What is Gru,Gru is a villain with justifiable mommy issues who discovers his sensitive side.
What are Minions,"Minions are the small, yellow, cylindrical creatures that serve Gru in the Despicable Me movies."
What are the Yellow capletshaped bespectacled beings,They are beings that swarm in excited enthusiasm and gurgle in some sort of fractionally understandable language that seems fitting given the indeterminate Russian-Hungarian goulash of Gru's accent.
What is Gru,Gru is a yellow caplet-shaped being who is bespectacled and gurgles in a fractionally understandable language that seems fitting given the indeterminate Russian-Hungarian goulash of Gru's accent.
What is Gru,Gru is a hardofhearing inventor who is like the Q to Bond and creates a fart gun when a dart gun is requested.
What is Brand,Brand is Gru's hardofhearing inventor who is like the Q to Gru's Bond and creates a fart gun when a dart gun is requested.
What is Gru's relationship with Brand,"Gru is Brand's Q, or Bond."
What is Bond,Bond is a character in the movie Despicable Me who is Gru's hard-of-hearing inventor. He creates a fart gun when a dart gun is requested.
What is Carell,"Carell is an actor known for his vocal delivery. Beneath the character's amusing accent, we can hear intimations of both an archcriminal and a petulant child."
What is Chris Meledandri,"Chris Meledandri is a producer who has worked on a number of films, including Horton Hears a Who, Ice Age, and The Meltdown. For these films, the CGI work was done by French special effects house Mac Guff Ligne."
What is Horton,Horton is a character in the Ice Age franchise who is voiced by Jim Carrey. He is a blue aardvark who is the main protagonist of the franchise.
What is the name of the company that produced the Ice Age movies,The company that produced the Ice Age movies is called Ice.
What is Meltdown,"Meltdown is a 2006 American computer-animated comedy film produced by Blue Sky Studios and distributed by 20th Century Fox. The film was directed by Carlos Saldanha and Mike Thurmeier, and features the voices of Ray Romano, Queen Latifah, Dennis Leary, John Leguizamo, and Seann William Scott. The film follows a group of prehistoric animals who must deal with the impending eruption of a volcano."
What is CGI,CGI is a computer-generated imagery technique used in filmmaking and video game development to create realistic images.
What is French,"French is a special effects house that produced the CGI work for Horton Hears a Who, Ice Age, and The Meltdown."
What is Mac Guff Ligne,"Mac Guff Ligne is a French special effects house that produced the CGI work for Horton Hears a Who, Ice Age, and The Meltdown."
What is Pixar,Pixar is a company that produces animated family films.
What is Spy,Spy is a style of animation used in the Despicable Me movies.
What is Despicable Me,"Despicable Me is a 2010 American 3D computer-animated comedy film from Universal Pictures and Illumination Entertainment that follows Gru, a super-villain, as he tries to steal the moon."
What is Despicable Me,Despicable Me is a family film that uses the Spy vs Spy style of animation. The Minions are lovable characters that help to make the film enjoyable.
What is Austin Chronicle,"Austin Chronicle is an independent news source in Austin, Texas that has been publishing for over 36 years. The publication covers community concerns around politics and the environment, and also supports the local cultural scene."
What is Austin's independent news source for over 36 years,The Austin Chronicle has been Austin's independent news source for over 36 years.
What is Austin,Austin is a city in Texas.
What is Chronicle Despicable Me,"Chronicle Despicable Me is a 2010 American computer-animated 3D comedy film produced by Illumination Entertainment for Universal Pictures. The film was directed by Pierre Coffin and Chris Renaud from a screenplay by Cinco Paul and Ken Daurio. It stars the voice of Steve Carell as Gru, a super-villain who adopts three girls from an orphanage."
What is Chris Renaud,Chris Renaud is the director of the Despicable Me movies.
What is Pierre Coffin,Pierre Coffin is an animator and director who is best known for his work on the Despicable Me franchise.
What is Austin,"Austin is the capital of Texas and the 11th largest city in the United States. It is known for its live music and nightlife scene, as well as its many parks and lakes."
What is Chronicle Information,Chronicle Information is a website that provides users with information about the latest news and events.
What is Austin,Austin is the capital of Texas and the 11th-most populous city in the United States.
What is Chronicle,Chronicle is a digital media company that produces stories about the Bay Area.
What is Variety,"Variety is a print and online magazine that covers the entertainment industry, including news on movies, television, music, and theater."
What is PARIS,PARIS is the name of the city in France that is hosting the 50th Annecy Intl animation festival.
What is Universal,Universal is a film studio that produces animated films.
What is Sammy,Sammy is a character in the upcoming stereoscopic 3D movie Sammy's Adventures.
What is Adventures,Adventures is a stereoscopic 3D movie from Euro S3D pioneer Ben Stassen.
What is Euro S3D,Euro S3D is a pioneer in stereoscopic 3D movies.
What is Ben Stassen,"Ben Stassen is a Belgian film director, producer, and writer who specializes in animated films."
What is Annecy Intl,"Annecy Intl is an animation festival that is held annually in Annecy, France."
What is the Animation Film Festival,The Animation Film Festival is a festival that celebrates animated films.
What is an Animation Film Festival,An Animation Film Festival is a festival that celebrates animated films.
What is Universal,Universal is a movie studio that is releasing the movie Despicable Me.
What is Chris Meledandri,Chris Meledandri is an American film producer and the founder and CEO of Illumination Entertainment. He is best known for producing the Despicable Me franchise and The Secret Life of Pets.
What is the first movie for Universal from Chris Meledandri's Illumination Ent,The first movie for Universal from Chris Meledandri's Illumination Ent is Despicable Me.
What is Steve Carell,"Steve Carell is an actor, comedian, writer, and producer. He is best known for his roles in The Office, The 40-Year-Old Virgin, and Anchorman."
What is the capital of France and the largest city in France,
What is Pierre Coffin,Pierre Coffin is a French animator and director who is best known for his work on the Despicable Me franchise.
What is Chris Renaud,"Chris Renaud is an American voice actor, comedian, director, producer, and screenwriter. He is best known for his work on the animated films Despicable Me (2010), Despicable Me 2 (2013), and Minions (2015)."
What is France,France is a country in Europe. The capital of France is Paris.
What is Stassen,Stassen is a Belgian film director and producer.
What is NWave,NWave is a Belgian production company founded by Stassen that is best known for its work in 3D animation.
What is Moon,"Moon is a 2009 science fiction film directed by Duncan Jones and starring Sam Rockwell. The film follows an astronaut, Sam Bell, who is sent to work on a lunar base and begins to experience strange hallucinations."
What is StudioCanal,"StudioCanal is a film production and distribution company that was founded in France in 1988. The company has produced and distributed many films, including Fly Me to the Moon and Adventures."
What is the status of Annecy that explains these world preems,
What is Annecy,Annecy is a city in southeast France. It is the prefecture of the Haute-Savoie department in the Auvergne-Rh�ne-Alpes region.
What is Annecy,"Annecy is the world's highest-profile animation fest, and one of the fastest-growing sprocket operas around."
What is Fest,Fest is a company that makes software for managing events and festivals. Their products are used by both European and US industries.
What is European,"European refers to something of, relating to, or originating in Europe. In this context, European industries are those based in Europe."
What is the U.S.,"The U.S. is a country located in North America. It is one of the world's leading industrial nations, and its economy is highly diversified. The U.S. is also a major tourist destination, and its culture is widely respected and admired."
What is the U.S.,"The U.S. is a country located in North America. It is home to a number of luminaries in the field of animation, including Jeffrey Katzenberg, Matt Groening, Nick Park, and Peter Lord. These individuals are expected to attend the Annecy International Animated Film Festival in France."
What is Jeffrey Katzenberg,Jeffrey Katzenberg is an American film producer and studio executive. He is the founder and CEO of DreamWorks Animation.
What is Matt Groening,Matt Groening is an American animator and television producer. He is the creator of The Simpsons and Futurama.
What is Nick Park,"Nick Park is a British animator, director, and producer. He is best known for his work on the Wallace and Gromit franchise."
What is Peter Lord,Peter Lord is an English animator and the co-founder of Aardman Animations. He is best known for his work on the Wallace and Gromit franchise.
What is England's Aardman Animations,Aardman Animations is a British stop-motion animation studio founded in 1972 by Peter Lord and David Sproxton.
What is Aardman Animations,"Aardman Animations is a British stop-motion animation studio founded in 1972. The studio is known for its claymation shorts, particularly those featuring Wallace and Gromit."
What is Israel,"Israel is a country located in the Middle East. It is bordered by the Mediterranean Sea to the west, Egypt to the southwest, the Red Sea to the south, Jordan to the east, and Syria and Lebanon to the north."
What is Ari Folman,"Ari Folman is an Israeli filmmaker who is expected to attend the Annecy International Animation Film Festival in France. He will be a member of the jury alongside other luminaries such as Jeffrey Katzenberg, Matt Groening, Nick Park, and Peter Lord."
What is France,"France is a country located in Western Europe. It is known for its fashion, cuisine, art, historz, and Descartes, among other things."
What is the release date for Adventures,Adventures is set to release on June 11.
What is Pixar,Pixar is a film studio that produces animated films.
What is Bob Whitehill,Bob Whitehill is a Pixar stereoscopic supervisor who will unveil the latest short Day Night on June 12.
What is the Pixar short Day Night about,"Pixar's short Day Night is about the two extremes of a day, told from the perspective of a young child."
What is Annecy,Annecy is a French city that is home to the Annecy International Animated Film Festival. The festival opens with Sylvain Chomet's The Illusionist and also features the European premiere of Shrek Forever After.
What is Sylvain Chomet,"Sylvain Chomet is a French animator, director, and screenwriter. He is best known for his 2003 animated film The Triplets of Belleville."
What is the name of the director of Annecy's opening film,Sylvain Chomet
What is the European premiere of Shrek Forever After,The European premiere of Shrek Forever After is on June 8 at the Annecy International Animation Film Festival.
What is Shrek Forever,"Shrek Forever is a 2010 American 3D computer-animated fantasy comedy-drama film produced by DreamWorks Animation and distributed by Paramount Pictures. It is the fourth installment in the Shrek franchise, following Shrek the Third (2007). The film stars Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, and Rupert Everett. In the film, Shrek takes a break from being a ogre"
What is Mickael Marin,Mickael Marin is the head of Annecy's Intl.
What is Annecy,Annecy is a French town that is home to the Annecy International Animation Film Festival. The festival opens with Sylvain Chomet's The Illusionist and also features the European premiere of Shrek Forever After.
What is Intl,Intl is Annecy's International Animation Film Festival.
What is the Market of Animation Film,The Market of Animation Film is where Annecy world preems include Allez Raconte car race actioner Redline from Japan s Takeshi Koike and CGIlive action Duga The Rainbow from Croatia s Josko Marusic.
What is the market for Animation Film,"The market for Animation Film is the MIFA, which is the Annecy International Animated Film Festival."
What is MIFA,"MIFA is the Market of Animation Film at the Annecy International Animation Film Festival. Other world preems at MIFA include Allez Raconte, car race actioner Redline from Japan's Takeshi Koike, and CGIlive action Duga The Rainbow from Croatia's Josko Marusic."
What is the Market of Animation Film,"The Market of Animation Film is a market that sells animation films. Annecy is a world preem where you can buy Allez Raconte, car race actioner Redline, from Japan s Takeshi Koike, and CGIlive action Duga, The Rainbow, from Croatia s Josko Marusic."
What is Allez Raconte,Allez Raconte is a car race actioner from Japan's Takeshi Koike.
What is Japan's Takeshi Koike,Takeshi Koike is a Japanese animator and film director. He is best known for his work on the animated films Redline and Duga The Rainbow.
What is Takeshi Koike,Takeshi Koike is a Japanese animator and filmmaker. He is best known for his work on the animated films Redline and Duga The Rainbow.
What is Rainbow,Rainbow is a Croatian CGIlive action film from Josko Marusic.
What is Croatia,"Croatia is a country in Central Europe. It is bordered by Slovenia to the northwest, Hungary to the northeast, Serbia to the east, Bosnia and Herzegovina to the south, and Montenegro to the southeast. Croatia has a population of 4.28 million and a total area of 56,594 square kilometers."
What is Josko Marusic,Josko Marusic is the director of the CGIlive action Duga The Rainbow from Croatia.
What is the TV contest for storytelling that Allez Raconte is based on,
What is Toonpic,Toonpic is the latest offering from prestige Gallic toon house Les Armateurs. It is currently producing Ari Folman's The Futurological Congress We do have premieres.
What is Gallic,Gallic is a toon house that produces Ari Folman's The Futurological Congress We do have premieres.
What is Les Armateurs,"Les Armateurs is a French animation studio that is responsible for films such as The Secret of Kells, Kirikou and the Wild Beasts, and The Futurological Congress."
What is the latest offering from prestige Gallic toon house Les Armateurs,The Secret of Kells
What is the latest offering from prestige Gallic toon house Les Armateurs,The Secret of Kells is currently producing Ari Folman s The Futurological Congress We do have premieres.
What is Wild Beasts,Wild Beasts is a French animated film studio that is currently producing Ari Folman's The Futurological Congress.
What is Ari Folman,Ari Folman is a French animator and director who is currently working on The Futurological Congress.
What is the latest offering from prestige Gallic toon house Les Armateurs,"The Secret of Kells, Kirikou and the Wild Beasts, and Ari Folman's The Futurological Congress are all currently in production."
What is Annecy,"Annecy is a film festival that focuses on young talent and features a market, schools, and computer software designers."
What is the point of Annecy,"To take in young talent, the small Competition short from Slovenia to successful films, projects, a market, schools, and computer software designers such as Hewlett Packard, said fest director Serge Bromberg."
What is Hewlett Packard,Hewlett Packard is a computer software designer that is known for its successful films and projects.
What is Serge Bromberg,He is the director of the Annecy International Animated Film Festival.
What is Annecy,Annecy is a French animation festival that features films that have already seen commercial release.
What is the Competition,"The Competition is a range of pics that have already seen commercial release, including Fantastic Mr Fox, Metropia, and Eleanor's Secret."
What is Mr. Fox,Mr. Fox is a character in the movie Fantastic Mr. Fox.
What is Venice Critics,Venice Critics is a section of the Venice Film Festival that showcases films that have already seen commercial release.
What is the significance of Secret in the context,Secret is a French animated feature film from Gaumont Alphanim. It was screened in the Venice Critics Week sidebar at the 2009 Venice Film Festival and was also an official selection in the Annecy International Animated Film Festival's Competition.
What is France's flagship toon feature,Eleanor's Secret
What is Gaumont Alphanim,"Gaumont Alphanim is a French animation studio that produces feature films, television series, and short films."
What is China,"China is a country located in East Asia. It is the world's most populous country, with over 1.3 billion people."
What is Liu Jian,Liu Jian is a Chinese animator and director. His most notable work is the 2D animated film Piercing 1.
What is Japan,Japan is a country in East Asia. It is an archipelago consisting of four large islands and many smaller ones. The capital of Japan is Tokyo.
What is Mamoru Hosoda,Mamoru Hosoda is a Japanese animator and director.
What is Sitges,"Sitges is a town in Spain that is known for its annual film festival, which focuses on films with a strong focus on animation. This year, the festival will be highlighting a number of films from around the world, including one from China, one from Japan, and one from South Africa."
What is the Animat Gertie Award,The Animat Gertie Award is a competition for animated films.
What is Japanese,"Japanese refers to the language, culture, and people of Japan."
What is Piece Film,Piece Film is a Japanese blockbuster animated film.
What is Strong,Strong is a Chinese animation feature that is one of South Africa's first S3D pics.
What is Work,Work is a Chinese animation feature film directed by Chun Zhang and Xuan Liang.
What is Progress,Progress is a Chinese animation feature film directed by Chun Zhang and Xuan Liang.
What is Chun Zhang,Chun Zhang is a Chinese animator and director. She is best known for her work on the animated feature film Da Hai.
What is Xuan Liang,Xuan Liang is a Chinese animator who is best known for his work on the film Da Hai.
What is the name of the Chinese animation feature that is one of South Africa's first S3D pics,The name of the Chinese animation feature that is one of South Africa's first S3D pics is Da Hai.
What is South,South is a 3D animation movie from China.
What is Africa,Africa is a continent located in the eastern hemisphere. It is the second largest continent in the world with a population of over 1.2 billion people.
What is Bushveld,Bushveld is a South African animation feature film.
What is Leconte,Leconte is a French animator and director who is presenting his first toonpic as a director at the Work in Progress event.
What is Suicide Shop,Suicide Shop is a 3D animated feature film from China. The film is about a group of friends who operate a suicide shop in a dystopian future.
What is MIFA,"MIFA is a music festival that takes place in June. It is one of the largest music festivals in the world, and has doubled in size over the past five years."
What is Marin,Marin is a county in the San Francisco Bay Area of California.
What is the current number of accredited participants,"The current number of accredited participants is 1,850."
What is Marin,Marin is a TV executive who has seen an increase in the number of international buyers registering for her events.
What is Annecy,Annecy is a Chinese Pavilion that is hosting 30 companies at MIFA.
What is MIFA,"MIFA is the Annecy International Animated Film Festival, the world's largest animation film festival."
What is MIFA,"MIFA is the Annecy International Animation Film Festival, and the Chinese Pavilion will be the biggest booth ever at the festival."
What is Ile de France Film Comission,Ile de France Film Comission is a French film commission that helps support and promote the film industry in France.
What is the Ile de France Film Comission,The Ile de France Film Comission is a stand at France that has doubled the exhibiting companies to 21 in one year.
What is Competition,Competition is a showcase of feature films that has helped drive a MIFA attendance hike.
What is Progress,Progress is an increased number of feature films in Competition plus the launch of a Work in Progress showcase which has helped drive a MIFA attendance hike.
What is MIFA,MIFA is a film festival that has seen an increase in attendance due to the increased number of feature films in competition and the launch of a Work in Progress showcase.
What is Marin,"Marin is a French city located in the Provence-Alpes-Cote d'Azur region. It is known for its Mediterranean climate and its picturesque old town. In recent years, it has become a popular destination for filmmakers, due to its increased number of feature films in Competition and its Work in Progress showcase."
What is Veillon,"Veillon is a French company that specializes in digital 3D animation. They are presenting new opportunities for animation at the Annecy Film Festival, which is a tribute to Argentinean animation."
What are the new opportunities for animation that Digital 3D is presenting in France and beyond,
What is the significance of France in the context of Veillon Digital 3D and Annecy fest,France is significant in the context of Veillon Digital 3D and Annecy fest because it is the home of Veillon Digital 3D and the host of Annecy fest.
What is Argentinean animation,"Argentinean animation is a type of animation that originated in Argentina. It is characterized by its use of traditional animation techniques, as well as its focus on stories and characters that are unique to Argentina."
What is Juan Pablo Zaramella,"Juan Pablo Zaramella is an Argentinean animation director and producer. He is best known for his work on the short film ""Luminaris"" and the feature film ""Frank and Lola""."
What is Oscar Grillo,Oscar Grillo is an Argentinean animation director.
What is iHeartRadio Podcast The Business,iHeartRadio Podcast The Business is a podcast about the business of entertainment.
What is Variety,"Variety is a print and online magazine that covers the entertainment industry, including movies, TV, music, and theater."
What is the 50th Annecy Intl,"The 50th Annecy Intl is an animation festival that will be held next week in Paris, France."
What is Universal,Universal is a film studio that produces animated films.
What is Sammy's Adventures,Sammy's Adventures is a stereoscopic 3D movie from Euro S3D pioneer Ben Stassen.
What is the plot of Adventures,"The plot of Adventures follows Sammy, a turtle who is accidentally transported to the surface and has to find his way back home to the sea. Along the way, he makes new friends and has a series of adventures."
What is Euro S3D,Euro S3D is a pioneer in stereoscopic 3D movies.
What is Ben Stassen,"Ben Stassen is a Belgian film director, producer, and screenwriter."
What is Annecy Intl,"Annecy Intl is an animation festival that is held annually in Annecy, France."
What is the Animation Film Festival,The Animation Film Festival is a festival that celebrates animated films.
What is an Animation Film Festival,An Animation Film Festival is a festival that celebrates animated films.
What is Universal,Universal is a movie studio that is releasing the movie Despicable Me.
What is Chris Meledandri,"Chris Meledandri is the founder and CEO of Illumination Entertainment, an American film production company best known for its animated films. Meledandri is also the producer of the Despicable Me franchise and the Illumination-produced Minions film."
What is U.S.,"The U.S. is the first country to commercially release Despicable Me, a movie from Chris Meledandri's Illumination Ent."
What is Steve Carell,"Steve Carell is an actor, comedian, writer, and director. He is best known for his roles in The Office, The 40-Year-Old Virgin, and Anchorman."
What is Paris,"Paris is the capital of France. It is also the home of the animation studio Mac Guff, where the movie Despicable Me was made. The movie's directors, Pierre Coffin and Chris Renaud, are both from France."
What is Pierre Coffin,Pierre Coffin is a French animator and director. He is best known for his work on the Despicable Me franchise.
What is Chris Renaud,"Chris Renaud is an American voice actor, comedian, director, producer, and screenwriter."
What is the native country of the directors of Despicable Me,France.
What is Stassen,A Belgian filmmaker who specializes in 3D animation.
What is NWave,"NWave is a production company based in Brussels, Belgium. It is best known for its work on 3D animated films, including the 2009 film ""Adventures in Zambezia""."
What is Moon,"Moon is a 2009 Belgian 3D animated science fiction comedy film directed by Ben Stassen and produced by nWave Pictures. It was released on October 16, 2009 in Belgium and on November 6, 2009 in the United States."
What is StudioCanal,"StudioCanal is a film production and distribution company that was founded in France in 1988. The company has produced and distributed many films, including Fly Me to the Moon and Adventures."
What is French,"Rather than the films French connections, however, it's Annecy's status that explains these world preems."
What is Annecy,Annecy is a city in southeastern France. It is the prefecture of the Haute-Savoie department in the Auvergne-Rh�ne-Alpes region.
What is Annecy,Annecy is the world's highest-profile animation fest and one of the fastest-growing sprocket operas around.
What is Fest,"Fest is a company that provides software for event management, ticketing, and registration."
What is European,"European refers to something of, from, or related to Europe, a continent in the Northern Hemisphere."
What is U.S.,The U.S. is a country located in North America.
What are some of the most notable people in the U.S. expected to attend France's Annecy,"These include Jeffrey Katzenberg, Matt Groening, Nick Park, and Peter Lord from England's Aardman Animations, Israel's Ari Folman, and France's Patrice Leconte, who are both jury members."
What is Jeffrey Katzenberg,"Jeffrey Katzenberg is an American film producer and former studio executive. He is best known for his work at Walt Disney Studios, where he was responsible for the production of some of the studio's most successful films, including The Little Mermaid, Beauty and the Beast, Aladdin, and The Lion King."
What is Matt Groening,"He is an American animator, writer, producer, and director. He is the creator of The Simpsons and Futurama."
What is Nick Park,"Nick Park is a British animator, director, and producer who is best known for creating the Wallace and Gromit franchise. He has been nominated for twelve Academy Awards and has won four, making him the most successful British animator of all time."
What is Peter Lord,"He is a British animator, director, and producer who is best known for his work with Aardman Animations. He has directed or produced several films, including Chicken Run and Wallace & Gromit: The Curse of the Were-Rabbit."
What is England's Aardman Animations,"Aardman Animations is a British stop-motion animation studio founded in 1972. The studio is known for its claymation films, particularly those featuring Wallace and Gromit, and for its work on the stop-motion television series Shaun the Sheep."
What is Aardman Animations,"Aardman Animations is a British animation studio founded by Peter Lord and Dave Sproxton in 1972. The studio is best known for its claymation films, particularly those featuring the character Wallace and Gromit. Aardman has also produced several CGI-animated films, including Flushed Away (2006) and Arthur Christmas (2011)."
What is Israel,Israel is a country in the Middle East.
